圧入管理差分データ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ファイル名：,PIN_****,,,*には保存順が入る,,,,,,,,,,,,,,,,,,,
ファイル形式：,バイナリデータ,,,,,,,,,,,,,,,,,,,,,,
ファイル拡張子：,bin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
名称,BYTE,bit7,bit6,bit5,bit4,bit3,bit2,bit1,bit0,備考,,,,,,,,,,,,,
正転トルク設定,87,上位 8bit,,,,,,,,設定値　オーガ/チャック正転トルク　（単位：kN･m）,66,00,86,56,,,,,,,,,
,88,下位 8bit,,,,,,,,,67,5a,87,57,,,,,,,,,
逆転トルク設定,89,上位 8bit,,,,,,,,設定値　オーガ/チャック逆転トルク　（単位：kN･m）,68,00,88,58,,,,,,,,,
,90,下位 8bit,,,,,,,,,69,00,89,59,,,,,,,,,
オーガ正転スピード設定,91,上位 8bit,,,,,,,,設定値　オーガ正転スピード　（単位：1/10 min-1）,70,00,90,5A,,,,,,,,,
,92,下位 8bit,,,,,,,,,71,00,91,5B,,,,,,,,,
オーガ逆転スピード設定,93,上位 8bit,,,,,,,,設定値　オーガ逆転スピード　（単位：1/10 min-1）,72,00,92,5C,,,,,,,,,
,94,下位 8bit,,,,,,,,,73,00,93,5D,,,,,,,,,
チャック正転スピード設定,95,上位 8bit,,,,,,,,設定値　チャック正転スピード　（単位：1/10 min-1）,74,00,94,5E,,,,,,,,,
,96,下位 8bit,,,,,,,,,75,90,95,5F,,,,,,,,,
チャック逆転スピード設定,97,上位 8bit,,,,,,,,設定値　チャック逆転スピード　（単位：1/10 min-1）,76,00,96,60,,,,,,,,,
,98,下位 8bit,,,,,,,,,77,29,97,61,,,,,,,,,
チャック上スピード設定,99,１BYTE,,,,,,,,設定値　チャック上スピード段階,78,05,98,62,,,,,,,,,
チャック下スピード設定,100,１BYTE,,,,,,,,設定値　チャック下スピード段階,79,03,99,63,,,,,,,,,
オーガ上スピード設定,101,１BYTE,,,,,,,,設定値　オーガ上スピード段階,80,63,100,64,,,,,,,,,
オーガ下スピード設定,102,１BYTE,,,,,,,,設定値　オーガ下スピード段階,81,01,101,65,,,,,,,,,
